,,,,,,,,,,b,v_k,16:57:00
tAnfang,tVMessungEnde,tEnde,T_oben,T_unten,t_leer,t_voll,v,,,0.015479,2552,tInMin
16:50:00,na,16:57:00,21.94,21.6,41.2616,37.456,1568.12268714018,,,,,0
17:02:00,na,17:08:30,21.67,21.5,41.2672,37.4736,1570.03133893586,,,,,11.5
17:12:24,na,17:17:45,21.57,21.46,41.2792,37.4836,1569.71290771185,,,,,20.75
17:23:00,na,17:30:30,21.52,21.42,41.2816,37.4756,1568.05914533204,,,,,33.5
17:33:45,17:36:06,17:37:32,21.47,21.4,41.2908,37.4924,1569.26732093789,,,,,40.5333333333333
17:43:30,17:46:00,17:48:00,21.46,21.35,41.2964,37.487,1567.51924780424,,,,,51
17:53:31,17:57:24,17:58:50,21.35,21.27,41.3014,37.4966,1568.24978620699,,,,,61.8333333333333
18:03:46,18:06:18,18:09:51,21.36,21.27,41.303,37.4896,1566.88455003533,,,,,72.85
18:14:43,18:19:09,18:21:47,21.32,21.25,41.3132,37.5072,1568.05914533204,,,,,84.7833333333333
18:23:37,18:27:34,18:29:03,21.28,21.2,41.318,37.5064,1567.17010041401,,,,,92.05
18:34:20,18:37:19,18:40:41,21.21,21.16,41.3248,37.5152,1567.48750070394,,,,,103.683333333333
18:44:17,18:48:27,18:49:59,21.2,21.15,41.327,37.5086,1566.09190025096,,,,,112.983333333333
18:54:05,18:57:48,18:59:29,21.2,21.23,41.3374,37.5214,1566.47227203785,,,,,122.483333333333
19:04:16,19:06:51,19:08:48,21.24,21.15,41.3414,37.5196,1565.55335632276,,,,,131.8
19:14:28,19:17:33,19:20:27,21.22,21.16,41.3476,37.5316,1566.47227203785,,,,,143.45
19:24:30,19:26:50,19:30:44,21.17,21.09,41.3516,37.5356,1566.47227203785,,,,,153.733333333333
19:34:50,19:36:57,19:40:00,21.12,21.12,41.3596,37.5436,1566.47227203785,,,,,163
19:42:53,19:46:36,19:47:37,21,21.05,41.3596,37.5296,1564.25603766024,,,,,170.616666666667
