i,Di,Ki,Li
1,2.293523E-13,1,9
2,-3.334069E-14,0,10
3,4.347779E-12,0,9
4,2.748470E-10,0,8
5,-6.740290E-11,1,8
6,4.872988E-14,2,8
7,-9.379410E-08,0,7
8,8.441089E-09,1,7
9,-7.191991E-12,2,7
10,-3.459921E-14,3,7
11,8.520253E-06,0,6
12,-5.876577E-07,1,6
13,-2.717664E-11,2,6
14,1.566856E-11,3,6
15,-7.961328E-14,4,6
16,-4.175723E-04,0,5
17,2.487626E-05,1,5
18,6.317368E-08,2,5
19,-2.116633E-09,3,5
20,1.542227E-11,4,5
21,-2.889305E-14,5,5
22,1.246830E-02,0,4
23,-6.572525E-04,1,4
24,-4.957552E-06,2,4
25,1.370765E-07,3,4
26,-1.363176E-09,4,4
27,8.968693E-12,5,4
28,-4.644391E-14,6,4
29,-2.323159E-01,0,3
30,1.065812E-02,1,3
31,1.790475E-04,2,3
32,-4.763008E-06,3,3
33,5.512563E-08,4,3
34,-2.392248E-10,5,3
35,-6.812776E-12,6,3
36,1.027370E-13,7,3
37,2.581214E+00,0,2
38,-9.778700E-02,1,2
39,-3.409837E-03,2,2
40,9.554803E-05,3,2
41,-2.029789E-06,4,2
42,7.303260E-08,5,2
43,-2.678939E-09,6,2
44,5.681490E-11,7,2
45,-4.742113E-13,8,2
46,-1.154564E+01,0,1
47,2.115519E-01,1,1
48,5.354679E-02,2,1
49,-8.378834E-03,3,1
50,1.154267E-03,4,1
51,-9.631472E-05,5,1
52,4.720320E-06,6,1
53,-1.331721E-07,7,1
54,2.000458E-09,8,1
55,-1.238626E-11,9,1
56,1.446424E+03,0,0
57,1.142117E+01,1,0
58,-8.523948E-01,2,0
59,3.394837E-01,3,0
60,-6.665556E-02,4,0
61,7.478822E-03,5,0
62,-5.137953E-04,6,0
63,2.187272E-05,7,0
64,-5.617519E-07,8,0
65,7.949837E-09,9,0
66,-4.745228E-11,10,0
